{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.13, 'lipoC3S3': 11.97, 'lipoC3S2': 7.91, 'rot1': 103, 'rot0': 108, 'rot3': 48, 'rot2': 39, 'state': 'normal', 'yaw': -177.53, 'datetime': '2018-10-03 17:24:06.407814', 'mgs': 0, 'volt': 1.0352, 'depth': 3.674, 'time': 390, 'pitch': -7.27, 'roll': -0.33, 'pres': 212}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-03 17:24:06.431250', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -7.45, 'roll': -0.28, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.454303', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -7.58, 'roll': -0.29, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.475733', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -7.7, 'roll': -0.28, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.485800', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -7.79, 'roll': -0.23, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.495792', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -7.79, 'roll': -0.23, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.505797', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -7.76, 'roll': -0.23, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.515779', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -7.65, 'roll': -0.23, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.525791', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': -7.48, 'roll': -0.23, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.02, 'datetime': '2018-10-03 17:24:06.535749', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -7.33, 'roll': -0.23, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.02, 'datetime': '2018-10-03 17:24:06.545693', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -7.21, 'roll': -0.23, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.555112', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -7.12, 'roll': -0.23, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.564535', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -7.11, 'roll': -0.3, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.573982', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -7.11, 'roll': -0.43, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.03, 'datetime': '2018-10-03 17:24:06.584131', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -7.17, 'roll': -0.64, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-03 17:24:06.594634', 'mgs': 0, 'volt': 1.0352, 'depth': 3.674, 'time': 2, 'pitch': -7.35, 'roll': -0.68, 'pres': 212}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.06, 'datetime': '2018-10-03 17:24:06.604620', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -7.52, 'roll': -0.64, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.91, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.12, 'datetime': '2018-10-03 17:24:06.614151', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 2, 'pitch': -7.69, 'roll': -0.54, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.19, 'datetime': '2018-10-03 17:24:06.623629', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 3, 'pitch': -7.83, 'roll': -0.41, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.06, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.28, 'datetime': '2018-10-03 17:24:06.633042', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 3, 'pitch': -7.93, 'roll': -0.26, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.95, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.37, 'datetime': '2018-10-03 17:24:06.642548', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 3, 'pitch': -7.98, 'roll': -0.08, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.96, 'temp': 26.13, 'lipoC3S3': 11.96, 'lipoC3S2': 7.9, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.47, 'datetime': '2018-10-03 17:24:06.651982', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 3, 'pitch': -7.96, 'roll': 0.04, 'pres': 211}
