{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.697785', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 860, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.730494', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 860, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.38, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.756224', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 860, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.781502', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 860, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.802687', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 860, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.814169', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 860, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.825808', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 860, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.836657', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 861, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.847639', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 861, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.33, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.858609', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 861, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
{'lipoC2': 7.29, 'lipoC3S1': 4.17, 'temp': 26.31, 'lipoC3S3': 12.59, 'lipoC3S2': 8.34, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'd9_error', 'yaw': -0.0, 'datetime': '2018-10-03 17:31:03.868819', 'mgs': 0, 'volt': 0.7764, 'depth': -0.369, 'time': 861, 'pitch': 0.0, 'roll': 0.0, 'pres': 159}
