{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.63, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -132.9, 'datetime': '2018-10-03 17:46:45.755834', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 496, 'pitch': 68.86, 'roll': 21.51, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.63, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -132.98, 'datetime': '2018-10-03 17:46:45.779325', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 496, 'pitch': 68.75, 'roll': 21.44, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.92, 'temp': 26.5, 'lipoC3S3': 11.85, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -133.06, 'datetime': '2018-10-03 17:46:45.802712', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 497, 'pitch': 68.67, 'roll': 21.37, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.92, 'temp': 26.5, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -133.15, 'datetime': '2018-10-03 17:46:45.825812', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 497, 'pitch': 68.57, 'roll': 21.24, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.85, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -133.15, 'datetime': '2018-10-03 17:46:45.840881', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 497, 'pitch': 68.56, 'roll': 21.14, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.92, 'temp': 26.56, 'lipoC3S3': 11.85, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -133.07, 'datetime': '2018-10-03 17:46:45.850891', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 497, 'pitch': 68.66, 'roll': 21.13, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.63, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -132.8, 'datetime': '2018-10-03 17:46:45.860973', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 497, 'pitch': 68.89, 'roll': 21.24, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.92, 'temp': 26.63, 'lipoC3S3': 11.85, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -132.58, 'datetime': '2018-10-03 17:46:45.871013', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 497, 'pitch': 69.11, 'roll': 21.31, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -132.38, 'datetime': '2018-10-03 17:46:45.881173', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 497, 'pitch': 69.28, 'roll': 21.35, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.92, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -132.09, 'datetime': '2018-10-03 17:46:45.891248', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 497, 'pitch': 69.38, 'roll': 21.48, 'pres': 211}
{'lipoC2': 0.0, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.84, 'lipoC3S2': 7.83, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-03 17:46:45.901130', 'mgs': 0, 'volt': 1.0303, 'depth': 3.598, 'time': 1, 'pitch': 14.52, 'roll': 3.57, 'pres': 211}
