{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -3.05, 'datetime': '2018-10-05 19:50:54.830987', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 55, 'pitch': -24.85, 'roll': 1.1, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -5.59, 'datetime': '2018-10-05 19:50:54.853838', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 55, 'pitch': -28.39, 'roll': -1.72, 'pres': 161}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -9.5, 'datetime': '2018-10-05 19:50:54.876738', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 55, 'pitch': -30.81, 'roll': -2.73, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -15.44, 'datetime': '2018-10-05 19:50:54.899517', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 55, 'pitch': -31.33, 'roll': -1.95, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -21.44, 'datetime': '2018-10-05 19:50:54.922270', 'mgs': 0, 'volt': 0.791, 'depth': -0.14, 'time': 55, 'pitch': -29.82, 'roll': -0.22, 'pres': 162}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -27.74, 'datetime': '2018-10-05 19:50:54.935495', 'mgs': 0, 'volt': 0.7959, 'depth': -0.064, 'time': 56, 'pitch': -27.29, 'roll': 1.68, 'pres': 163}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -32.42, 'datetime': '2018-10-05 19:50:54.945457', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 56, 'pitch': -25.15, 'roll': 2.58, 'pres': 164}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -36.02, 'datetime': '2018-10-05 19:50:54.955333', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 56, 'pitch': -23.06, 'roll': 2.6, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.69, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.74, 'datetime': '2018-10-05 19:50:54.965169', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 56, 'pitch': -20.48, 'roll': 1.59, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.5, 'datetime': '2018-10-05 19:50:54.975023', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 56, 'pitch': -18.57, 'roll': -0.62, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.48, 'datetime': '2018-10-05 19:50:54.984853', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 56, 'pitch': -16.83, 'roll': -3.58, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.01, 'datetime': '2018-10-05 19:50:54.994694', 'mgs': 0, 'volt': 0.8057, 'depth': 0.089, 'time': 56, 'pitch': -16.21, 'roll': -6.24, 'pres': 165}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.54, 'datetime': '2018-10-05 19:50:55.004545', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 56, 'pitch': -15.81, 'roll': -8.63, 'pres': 164}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -38.8, 'datetime': '2018-10-05 19:50:55.014335', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 56, 'pitch': -15.76, 'roll': -9.78, 'pres': 164}
{'lipoC2': 7.81, 'lipoC3S1': 3.89, 'temp': 28.75, 'lipoC3S3': 11.77, 'lipoC3S2': 7.78, 'rot1': 291, 'rot0': 278, 'rot3': 191, 'rot2': 164, 'state': 'normal', 'yaw': -39.27, 'datetime': '2018-10-05 19:50:55.024309', 'mgs': 0, 'volt': 0.8008, 'depth': 0.012, 'time': 56, 'pitch': -15.79, 'roll': -10.15, 'pres': 164}
