{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 7.07, 'datetime': '2018-10-05 20:20:53.677793', 'mgs': 0, 'volt': 0.8252, 'depth': 0.394, 'time': 48, 'pitch': -24.49, 'roll': -2.1, 'pres': 169}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 7.43, 'datetime': '2018-10-05 20:20:53.711510', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 48, 'pitch': -24.08, 'roll': -2.32, 'pres': 168}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 7.43, 'datetime': '2018-10-05 20:20:53.743312', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 48, 'pitch': -23.92, 'roll': -2.5, 'pres': 168}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 7.25, 'datetime': '2018-10-05 20:20:53.775043', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 48, 'pitch': -23.39, 'roll': -2.68, 'pres': 168}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 6.99, 'datetime': '2018-10-05 20:20:53.790705', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 48, 'pitch': -22.5, 'roll': -2.86, 'pres': 168}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 6.63, 'datetime': '2018-10-05 20:20:53.803744', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 48, 'pitch': -21.37, 'roll': -3.02, 'pres': 167}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 6.09, 'datetime': '2018-10-05 20:20:53.817463', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 48, 'pitch': -20.57, 'roll': -3.19, 'pres': 167}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 5.64, 'datetime': '2018-10-05 20:20:53.831082', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 48, 'pitch': -20.21, 'roll': -3.44, 'pres': 167}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 5.15, 'datetime': '2018-10-05 20:20:53.844811', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 48, 'pitch': -19.98, 'roll': -3.84, 'pres': 167}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.62, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 4.68, 'datetime': '2018-10-05 20:20:53.858512', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 49, 'pitch': -19.83, 'roll': -4.22, 'pres': 167}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 4.17, 'datetime': '2018-10-05 20:20:53.872202', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -19.99, 'roll': -4.66, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.8, 'datetime': '2018-10-05 20:20:53.885879', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -20.51, 'roll': -5.09, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.52, 'datetime': '2018-10-05 20:20:53.901039', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -21.2, 'roll': -5.57, 'pres': 166}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.33, 'datetime': '2018-10-05 20:20:53.911206', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -22.07, 'roll': -6.15, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.2, 'datetime': '2018-10-05 20:20:53.921189', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -22.75, 'roll': -6.57, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.04, 'datetime': '2018-10-05 20:20:53.930975', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -23.21, 'roll': -6.84, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.94, 'datetime': '2018-10-05 20:20:53.940751', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -23.39, 'roll': -6.95, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.94, 'datetime': '2018-10-05 20:20:53.950553', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -23.41, 'roll': -7.01, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.92, 'datetime': '2018-10-05 20:20:53.960346', 'mgs': 0, 'volt': 0.8105, 'depth': 0.165, 'time': 49, 'pitch': -23.37, 'roll': -7.0, 'pres': 166}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.83, 'datetime': '2018-10-05 20:20:53.970171', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 50, 'pitch': -23.26, 'roll': -6.85, 'pres': 167}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.81, 'datetime': '2018-10-05 20:20:53.980042', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 50, 'pitch': -23.03, 'roll': -6.65, 'pres': 167}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.77, 'datetime': '2018-10-05 20:20:53.989932', 'mgs': 0, 'volt': 0.8154, 'depth': 0.241, 'time': 50, 'pitch': -22.76, 'roll': -6.35, 'pres': 167}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.76, 'datetime': '2018-10-05 20:20:54.001591', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 50, 'pitch': -22.65, 'roll': -5.9, 'pres': 168}
{'lipoC2': 7.68, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 2.88, 'datetime': '2018-10-05 20:20:54.013424', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 50, 'pitch': -22.82, 'roll': -5.52, 'pres': 168}
{'lipoC2': 7.69, 'lipoC3S1': 3.81, 'temp': 28.81, 'lipoC3S3': 11.52, 'lipoC3S2': 7.63, 'rot1': 292, 'rot0': 296, 'rot3': 163, 'rot2': 136, 'state': 'normal', 'yaw': 3.18, 'datetime': '2018-10-05 20:20:54.023370', 'mgs': 0, 'volt': 0.8203, 'depth': 0.317, 'time': 50, 'pitch': -23.14, 'roll': -5.2, 'pres': 168}
