{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:27.227461', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 13, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.254136', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 13, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.17, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.277037', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 13, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.319918', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 13, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.335479', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 13, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.357227', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 13, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.370212', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 13, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.393636', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 14, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.406680', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 14, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.430374', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 14, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.441655', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 14, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.465095', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 14, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.478106', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 14, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.501468', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 14, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.514707', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 14, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.538238', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 14, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.551651', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 15, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.574872', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 15, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.587922', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 15, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.611381', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 15, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.624351', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 15, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.646154', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 15, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.656847', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.676768', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.686618', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.708830', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.721564', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.17, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.741542', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.752885', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.772708', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.782003', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.801899', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.811251', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.63, 'lipoC3S3': 12.0, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.831120', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.840427', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.862122', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.17, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.871985', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.892011', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.97, 'temp': 25.56, 'lipoC3S3': 12.0, 'lipoC3S2': 7.94, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.901334', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
{'lipoC2': 8.16, 'lipoC3S1': 3.96, 'temp': 25.56, 'lipoC3S3': 11.98, 'lipoC3S2': 7.93, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 09:51:30.921188', 'mgs': 1, 'volt': 0.0, 'depth': -12.5, 'time': 3, 'pitch': -0.74, 'roll': 2.63, 'pres': 0}
