{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -128.27, 'datetime': '2018-10-09 11:35:31.484701', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': 7.67, 'roll': 0.8, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -128.75, 'datetime': '2018-10-09 11:35:31.508136', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': 6.59, 'roll': 0.64, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -129.2, 'datetime': '2018-10-09 11:35:31.523078', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': 5.58, 'roll': 0.54, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -129.6, 'datetime': '2018-10-09 11:35:31.533220', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': 5.16, 'roll': 0.49, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -130.02, 'datetime': '2018-10-09 11:35:31.543222', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': 5.28, 'roll': 0.35, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -130.52, 'datetime': '2018-10-09 11:35:31.553351', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': 5.81, 'roll': 0.15, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.38, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -131.11, 'datetime': '2018-10-09 11:35:31.563454', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 1, 'pitch': 6.3, 'roll': -0.1, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.38, 'lipoC3S3': 12.55, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -131.69, 'datetime': '2018-10-09 11:35:31.573563', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': 6.58, 'roll': -0.37, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -132.41, 'datetime': '2018-10-09 11:35:31.583669', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': 6.61, 'roll': -0.59, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -132.85, 'datetime': '2018-10-09 11:35:31.593760', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': 6.46, 'roll': -0.73, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 31.44, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -133.28, 'datetime': '2018-10-09 11:35:31.603806', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 2, 'pitch': 6.25, 'roll': -0.73, 'pres': 0}
