{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -156.62, 'datetime': '2018-10-09 11:38:09.331401', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 135, 'pitch': 1.9, 'roll': -0.74, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -156.68, 'datetime': '2018-10-09 11:38:09.355082', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 135, 'pitch': 2.76, 'roll': -1.01, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -156.7, 'datetime': '2018-10-09 11:38:09.378940', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 135, 'pitch': 3.62, 'roll': -1.29, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -156.76, 'datetime': '2018-10-09 11:38:09.402728', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 135, 'pitch': 4.19, 'roll': -1.47, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -156.87, 'datetime': '2018-10-09 11:38:09.426469', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 135, 'pitch': 4.28, 'roll': -1.41, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -156.99, 'datetime': '2018-10-09 11:38:09.448928', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 135, 'pitch': 4.23, 'roll': -1.17, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -157.14, 'datetime': '2018-10-09 11:38:09.463007', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 135, 'pitch': 4.28, 'roll': -0.9, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.63, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -157.29, 'datetime': '2018-10-09 11:38:09.472722', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 135, 'pitch': 4.69, 'roll': -0.71, 'pres': 0}
{'lipoC2': 7.65, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -157.42, 'datetime': '2018-10-09 11:38:09.482433', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 135, 'pitch': 5.29, 'roll': -0.72, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.55, 'lipoC3S2': 8.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -157.54, 'datetime': '2018-10-09 11:38:09.492072', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 136, 'pitch': 5.82, 'roll': -0.86, 'pres': 0}
{'lipoC2': 7.64, 'lipoC3S1': 4.15, 'temp': 30.69, 'lipoC3S3': 12.54, 'lipoC3S2': 8.29, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -157.6, 'datetime': '2018-10-09 11:38:09.501712', 'mgs': 0, 'volt': 0.0, 'depth': -12.5, 'time': 136, 'pitch': 6.05, 'roll': -1.1, 'pres': 0}
