{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.71, 'datetime': '2018-10-09 12:06:11.209921', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 10, 'pitch': 4.11, 'roll': 0.05, 'pres': 184}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.71, 'datetime': '2018-10-09 12:06:11.234685', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 10, 'pitch': 4.28, 'roll': 0.18, 'pres': 184}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.73, 'datetime': '2018-10-09 12:06:11.259515', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 10, 'pitch': 4.38, 'roll': 0.2, 'pres': 184}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.5, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.74, 'datetime': '2018-10-09 12:06:11.277699', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 10, 'pitch': 4.41, 'roll': 0.29, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.5, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.73, 'datetime': '2018-10-09 12:06:11.289013', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 10, 'pitch': 4.35, 'roll': 0.46, 'pres': 184}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.5, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.69, 'datetime': '2018-10-09 12:06:11.299754', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 10, 'pitch': 4.39, 'roll': 0.67, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.5, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.65, 'datetime': '2018-10-09 12:06:11.310176', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 11, 'pitch': 4.55, 'roll': 0.84, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.5, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.66, 'datetime': '2018-10-09 12:06:11.320776', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 11, 'pitch': 4.73, 'roll': 1.02, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.5, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.67, 'datetime': '2018-10-09 12:06:11.331266', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 11, 'pitch': 4.79, 'roll': 1.19, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.5, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.67, 'datetime': '2018-10-09 12:06:11.341639', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 11, 'pitch': 4.63, 'roll': 1.25, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.76, 'datetime': '2018-10-09 12:06:11.352183', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 11, 'pitch': 4.37, 'roll': 1.24, 'pres': 184}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.88, 'lipoC3S3': 12.48, 'lipoC3S2': 8.25, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 0.91, 'datetime': '2018-10-09 12:06:11.362485', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 11, 'pitch': 4.21, 'roll': 1.04, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 1.07, 'datetime': '2018-10-09 12:06:11.372987', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 11, 'pitch': 4.19, 'roll': 0.69, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 1.22, 'datetime': '2018-10-09 12:06:11.383894', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 11, 'pitch': 4.28, 'roll': 0.32, 'pres': 185}
{'lipoC2': 7.55, 'lipoC3S1': 4.13, 'temp': 30.94, 'lipoC3S3': 12.48, 'lipoC3S2': 8.26, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 13, 'state': 'normal', 'yaw': 1.36, 'datetime': '2018-10-09 12:06:11.401017', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 11, 'pitch': 4.45, 'roll': -0.0, 'pres': 184}
