{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.57, 'datetime': '2018-10-09 13:02:54.253911', 'mgs': 0, 'volt': 0.9424, 'depth': 2.225, 'time': 1, 'pitch': 16.57, 'roll': -8.37, 'pres': 193}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.38, 'datetime': '2018-10-09 13:02:54.277135', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 1, 'pitch': 14.58, 'roll': -8.53, 'pres': 192}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.33, 'datetime': '2018-10-09 13:02:54.300379', 'mgs': 0, 'volt': 0.9375, 'depth': 2.148, 'time': 1, 'pitch': 12.29, 'roll': -8.08, 'pres': 192}
{'lipoC2': 7.43, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.03, 'datetime': '2018-10-09 13:02:54.323524', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 1, 'pitch': 9.99, 'roll': -7.38, 'pres': 191}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.04, 'datetime': '2018-10-09 13:02:54.341045', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 1, 'pitch': 7.92, 'roll': -6.57, 'pres': 191}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.39, 'datetime': '2018-10-09 13:02:54.351082', 'mgs': 0, 'volt': 0.9326, 'depth': 2.072, 'time': 1, 'pitch': 6.86, 'roll': -6.12, 'pres': 191}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.34, 'datetime': '2018-10-09 13:02:54.361074', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 1, 'pitch': 6.57, 'roll': -5.94, 'pres': 190}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.45, 'datetime': '2018-10-09 13:02:54.371078', 'mgs': 0, 'volt': 0.9277, 'depth': 1.996, 'time': 2, 'pitch': 5.98, 'roll': -5.58, 'pres': 190}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.23, 'datetime': '2018-10-09 13:02:54.381058', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 2, 'pitch': 4.94, 'roll': -5.14, 'pres': 189}
{'lipoC2': 7.43, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.06, 'datetime': '2018-10-09 13:02:54.391047', 'mgs': 0, 'volt': 0.9229, 'depth': 1.92, 'time': 2, 'pitch': 3.6, 'roll': -4.72, 'pres': 189}
{'lipoC2': 7.43, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.24, 'datetime': '2018-10-09 13:02:54.401058', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 2, 'pitch': 2.23, 'roll': -4.33, 'pres': 188}
{'lipoC2': 7.43, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.01, 'datetime': '2018-10-09 13:02:54.411058', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 2, 'pitch': 1.34, 'roll': -3.99, 'pres': 188}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.56, 'datetime': '2018-10-09 13:02:54.421040', 'mgs': 0, 'volt': 0.918, 'depth': 1.843, 'time': 2, 'pitch': 0.63, 'roll': -3.63, 'pres': 188}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.89, 'datetime': '2018-10-09 13:02:54.431218', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 2, 'pitch': 0.27, 'roll': -3.22, 'pres': 187}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.63, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.0, 'datetime': '2018-10-09 13:02:54.441582', 'mgs': 0, 'volt': 0.9131, 'depth': 1.767, 'time': 2, 'pitch': 0.36, 'roll': -2.92, 'pres': 187}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.01, 'datetime': '2018-10-09 13:02:54.451637', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 2, 'pitch': 0.59, 'roll': -2.67, 'pres': 186}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.97, 'datetime': '2018-10-09 13:02:54.461666', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 3, 'pitch': 0.69, 'roll': -2.46, 'pres': 186}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.74, 'datetime': '2018-10-09 13:02:54.471700', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 3, 'pitch': 0.48, 'roll': -2.28, 'pres': 186}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.83, 'datetime': '2018-10-09 13:02:54.481718', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 3, 'pitch': -0.48, 'roll': -2.39, 'pres': 186}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.27, 'datetime': '2018-10-09 13:02:54.491251', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 3, 'pitch': -1.27, 'roll': -2.43, 'pres': 186}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.13, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.19, 'datetime': '2018-10-09 13:02:54.500701', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 3, 'pitch': -1.5, 'roll': -2.15, 'pres': 186}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.53, 'datetime': '2018-10-09 13:02:54.510144', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 3, 'pitch': -0.8, 'roll': -1.58, 'pres': 186}
{'lipoC2': 7.42, 'lipoC3S1': 4.0, 'temp': 30.56, 'lipoC3S3': 12.12, 'lipoC3S2': 8.01, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.84, 'datetime': '2018-10-09 13:02:54.519580', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 3, 'pitch': 0.42, 'roll': -0.99, 'pres': 186}
