{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.33, 'datetime': '2018-10-09 13:44:01.741762', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 282, 'pitch': 23.74, 'roll': -31.3, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.31, 'datetime': '2018-10-09 13:44:01.765804', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 282, 'pitch': 23.77, 'roll': -31.34, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:01.789951', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 282, 'pitch': 23.73, 'roll': -31.35, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.33, 'datetime': '2018-10-09 13:44:01.814002', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 282, 'pitch': 23.73, 'roll': -31.39, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.33, 'datetime': '2018-10-09 13:44:01.835995', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 282, 'pitch': 23.74, 'roll': -31.41, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:01.846438', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 283, 'pitch': 23.73, 'roll': -31.44, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:01.856837', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 283, 'pitch': 23.73, 'roll': -31.44, 'pres': 160}
{'lipoC2': 7.35, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:01.867309', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 283, 'pitch': 23.73, 'roll': -31.46, 'pres': 160}
{'lipoC2': 7.35, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.34, 'datetime': '2018-10-09 13:44:01.877840', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 283, 'pitch': 23.72, 'roll': -31.47, 'pres': 160}
{'lipoC2': 7.35, 'lipoC3S1': 3.85, 'temp': 30.94, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:01.888321', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 283, 'pitch': 23.72, 'roll': -31.52, 'pres': 160}
{'lipoC2': 7.34, 'lipoC3S1': 3.85, 'temp': 31.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.7, 'rot1': 1886, 'rot0': 1857, 'rot3': 833, 'rot2': 762, 'state': 'normal', 'yaw': 90.35, 'datetime': '2018-10-09 13:44:01.898749', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 283, 'pitch': 23.72, 'roll': -31.52, 'pres': 160}
