{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -168.99, 'datetime': '2018-10-09 13:51:07.307839', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 416, 'pitch': -85.22, 'roll': 58.98, 'pres': 183}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -167.49, 'datetime': '2018-10-09 13:51:07.336974', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 416, 'pitch': -86.95, 'roll': 57.08, 'pres': 184}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -126.41, 'datetime': '2018-10-09 13:51:07.349896', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 416, 'pitch': -88.21, 'roll': 15.3, 'pres': 183}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -75.4, 'datetime': '2018-10-09 13:51:07.361856', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 417, 'pitch': -86.68, 'roll': -36.45, 'pres': 183}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -62.12, 'datetime': '2018-10-09 13:51:07.375660', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 417, 'pitch': -83.45, 'roll': -50.5, 'pres': 184}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -58.1, 'datetime': '2018-10-09 13:51:07.389842', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 417, 'pitch': -80.11, 'roll': -55.14, 'pres': 183}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -54.74, 'datetime': '2018-10-09 13:51:07.404364', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 417, 'pitch': -76.72, 'roll': -58.75, 'pres': 184}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -52.09, 'datetime': '2018-10-09 13:51:07.418476', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 417, 'pitch': -74.07, 'roll': -61.18, 'pres': 184}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -49.98, 'datetime': '2018-10-09 13:51:07.432500', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 417, 'pitch': -71.65, 'roll': -62.87, 'pres': 184}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -47.59, 'datetime': '2018-10-09 13:51:07.445995', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 417, 'pitch': -69.85, 'roll': -64.26, 'pres': 185}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -43.91, 'datetime': '2018-10-09 13:51:07.460144', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 417, 'pitch': -68.86, 'roll': -66.66, 'pres': 185}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -39.39, 'datetime': '2018-10-09 13:51:07.474097', 'mgs': 0, 'volt': 0.9033, 'depth': 1.614, 'time': 417, 'pitch': -67.79, 'roll': -69.77, 'pres': 185}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -34.46, 'datetime': '2018-10-09 13:51:07.488151', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.75, 'roll': -72.91, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -31.63, 'datetime': '2018-10-09 13:51:07.502227', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.17, 'roll': -73.86, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -30.14, 'datetime': '2018-10-09 13:51:07.514519', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -65.66, 'roll': -73.38, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.64, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -30.08, 'datetime': '2018-10-09 13:51:07.524812', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -65.66, 'roll': -71.91, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 30.0, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -29.98, 'datetime': '2018-10-09 13:51:07.535080', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.06, 'roll': -70.85, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -30.01, 'datetime': '2018-10-09 13:51:07.546425', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.29, 'roll': -70.5, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -30.59, 'datetime': '2018-10-09 13:51:07.560222', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.25, 'roll': -70.31, 'pres': 186}
{'lipoC2': 7.33, 'lipoC3S1': 3.85, 'temp': 29.94, 'lipoC3S3': 11.65, 'lipoC3S2': 7.71, 'rot1': 136, 'rot0': 139, 'rot3': 35, 'rot2': 42, 'state': 'normal', 'yaw': -31.86, 'datetime': '2018-10-09 13:51:07.571882', 'mgs': 0, 'volt': 0.9082, 'depth': 1.691, 'time': 418, 'pitch': -66.17, 'roll': -70.04, 'pres': 186}
