{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 55.03, 'datetime': '2018-10-09 19:46:21.299391', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 174, 'pitch': -4.38, 'roll': 0.3, 'pres': 184}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 55.02, 'datetime': '2018-10-09 19:46:24.330403', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 174, 'pitch': -4.36, 'roll': 0.28, 'pres': 184}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.81, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 55.05, 'datetime': '2018-10-09 19:46:24.372735', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 174, 'pitch': -4.34, 'roll': 0.2, 'pres': 184}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 55.15, 'datetime': '2018-10-09 19:46:24.404858', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 174, 'pitch': -4.31, 'roll': 0.03, 'pres': 183}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 55.26, 'datetime': '2018-10-09 19:46:24.424857', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 174, 'pitch': -4.3, 'roll': -0.15, 'pres': 184}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 55.42, 'datetime': '2018-10-09 19:46:24.441078', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 174, 'pitch': -4.29, 'roll': -0.35, 'pres': 184}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 55.61, 'datetime': '2018-10-09 19:46:24.460400', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 174, 'pitch': -4.29, 'roll': -0.57, 'pres': 184}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.81, 'lipoC3S2': 7.81, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 55.79, 'datetime': '2018-10-09 19:46:24.479828', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 174, 'pitch': -4.25, 'roll': -0.76, 'pres': 184}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.56, 'lipoC3S3': 11.81, 'lipoC3S2': 7.81, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 55.97, 'datetime': '2018-10-09 19:46:24.499273', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 175, 'pitch': -4.1, 'roll': -0.92, 'pres': 183}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.82, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 56.13, 'datetime': '2018-10-09 19:46:24.518902', 'mgs': 0, 'volt': 0.8984, 'depth': 1.538, 'time': 175, 'pitch': -3.98, 'roll': -1.01, 'pres': 184}
{'lipoC2': 7.36, 'lipoC3S1': 3.91, 'temp': 26.5, 'lipoC3S3': 11.81, 'lipoC3S2': 7.81, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 10, 'state': 'normal', 'yaw': 56.23, 'datetime': '2018-10-09 19:46:24.538684', 'mgs': 0, 'volt': 0.8936, 'depth': 1.462, 'time': 175, 'pitch': -3.95, 'roll': -1.02, 'pres': 183}
