{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:25.138193', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 31, 'pitch': -0.38, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.19, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.165839', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 31, 'pitch': -0.38, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.188993', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 31, 'pitch': -0.38, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.219308', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 31, 'pitch': -0.38, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.249363', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 31, 'pitch': -0.38, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.265296', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 31, 'pitch': -0.38, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.281243', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 31, 'pitch': -0.38, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.297162', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.313063', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.328964', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.344914', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.360800', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.376718', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.392643', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.408718', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.424658', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.440026', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 32, 'pitch': -0.38, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 6.0, 'datetime': '2018-10-09 20:29:28.455445', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 33, 'pitch': -0.38, 'roll': -0.25, 'pres': 160}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.470821', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 1, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.486149', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 1, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.501483', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.516834', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.532255', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.547926', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.563334', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.578842', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.25, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.594276', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.609652', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.27, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.625110', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.640485', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 2, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.655806', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.54, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.671145', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 3, 'pitch': -4.44, 'roll': -0.38, 'pres': 160}
{'lipoC2': 7.26, 'lipoC3S1': 3.82, 'temp': 26.31, 'lipoC3S3': 11.55, 'lipoC3S2': 7.64, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-09 20:29:28.686571', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 3, 'pitch': -4.44, 'roll': -0.38, 'pres': 161}
