{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:36.620104', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 6, 'pitch': 0.0, 'roll': 0.0, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.635605', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 6, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.645608', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 6, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.06, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.655398', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 6, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.664787', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 6, 'pitch': 0.0, 'roll': 0.0, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.674613', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 6, 'pitch': 0.0, 'roll': 0.0, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.684530', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 6, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.694321', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 6, 'pitch': 0.0, 'roll': 0.0, 'pres': 160}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.703957', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 7, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.713759', 'mgs': 0, 'volt': 0.7861, 'depth': -0.217, 'time': 7, 'pitch': 0.0, 'roll': 0.0, 'pres': 161}
{'lipoC2': 7.25, 'lipoC3S1': 3.82, 'temp': 26.13, 'lipoC3S3': 11.55, 'lipoC3S2': 7.65, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.06, 'datetime': '2018-10-09 20:34:39.723626', 'mgs': 0, 'volt': 0.7813, 'depth': -0.293, 'time': 7, 'pitch': 0.0, 'roll': 0.0, 'pres': 160}
