{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.87, 'datetime': '2018-10-09 23:47:50.553124', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 1, 'pitch': 9.09, 'roll': -0.37, 'pres': 177}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.63, 'datetime': '2018-10-09 23:47:55.083047', 'mgs': 0, 'volt': 0.8691, 'depth': 1.08, 'time': 1, 'pitch': 10.1, 'roll': 0.89, 'pres': 178}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.87, 'datetime': '2018-10-09 23:47:58.136818', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 1, 'pitch': 10.76, 'roll': 1.52, 'pres': 177}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.92, 'datetime': '2018-10-09 23:47:58.170216', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 1, 'pitch': 10.74, 'roll': 1.87, 'pres': 177}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.46, 'datetime': '2018-10-09 23:47:58.184870', 'mgs': 0, 'volt': 0.8643, 'depth': 1.004, 'time': 1, 'pitch': 10.12, 'roll': 2.17, 'pres': 177}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.6, 'datetime': '2018-10-09 23:47:58.201204', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 1, 'pitch': 9.31, 'roll': 2.32, 'pres': 176}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.43, 'datetime': '2018-10-09 23:47:58.217371', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': 7.67, 'roll': 2.41, 'pres': 175}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.38, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.19, 'datetime': '2018-10-09 23:47:58.227697', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': 5.23, 'roll': 2.35, 'pres': 175}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 2.03, 'datetime': '2018-10-09 23:47:58.243812', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': 3.05, 'roll': 1.99, 'pres': 175}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-09 23:47:58.259905', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 1, 'pitch': 0.96, 'roll': 0.91, 'pres': 174}
{'lipoC2': 7.28, 'lipoC3S1': 3.81, 'temp': 30.31, 'lipoC3S3': 11.5, 'lipoC3S2': 7.62, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.12, 'datetime': '2018-10-09 23:47:58.270201', 'mgs': 0, 'volt': 0.8496, 'depth': 0.775, 'time': 1, 'pitch': -1.74, 'roll': 0.82, 'pres': 174}
