{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-10 00:17:56.073344', 'mgs': 0, 'volt': 0.8594, 'depth': 0.928, 'time': 1, 'pitch': 0.45, 'roll': 0.07, 'pres': 176}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.11, 'datetime': '2018-10-10 00:17:56.099802', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': 0.07, 'roll': 0.68, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.63, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -1.95, 'datetime': '2018-10-10 00:17:56.125315', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -0.59, 'roll': 0.87, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.63, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -2.66, 'datetime': '2018-10-10 00:17:56.150146', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -0.93, 'roll': 0.55, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.63, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.28, 'datetime': '2018-10-10 00:17:56.171429', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -0.68, 'roll': -0.05, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.94, 'datetime': '2018-10-10 00:17:56.181169', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': -0.05, 'roll': -0.31, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.54, 'datetime': '2018-10-10 00:17:56.192173', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': 0.44, 'roll': -0.01, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.9, 'datetime': '2018-10-10 00:17:56.201875', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 1, 'pitch': 0.33, 'roll': 0.53, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.78, 'datetime': '2018-10-10 00:17:56.211702', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -0.3, 'roll': 0.89, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -4.28, 'datetime': '2018-10-10 00:17:56.221199', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -1.03, 'roll': 0.78, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.73, 'datetime': '2018-10-10 00:17:56.230792', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -1.42, 'roll': 0.22, 'pres': 175}
{'lipoC2': 7.61, 'lipoC3S1': 4.17, 'temp': 29.56, 'lipoC3S3': 12.6, 'lipoC3S2': 8.35, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -3.41, 'datetime': '2018-10-10 00:17:56.240309', 'mgs': 0, 'volt': 0.8545, 'depth': 0.851, 'time': 2, 'pitch': -1.21, 'roll': -0.49, 'pres': 175}
