{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.0, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.2, 'datetime': '2018-10-10 00:40:52.604167', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': -7.92, 'roll': -3.7, 'pres': 170}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.19, 'datetime': '2018-10-10 00:40:52.625918', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -8.17, 'roll': -2.91, 'pres': 171}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.75, 'datetime': '2018-10-10 00:40:52.647936', 'mgs': 0, 'volt': 0.8301, 'depth': 0.47, 'time': 1, 'pitch': -8.45, 'roll': -2.08, 'pres': 170}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.1, 'datetime': '2018-10-10 00:40:52.669773', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -8.47, 'roll': -1.34, 'pres': 171}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.24, 'datetime': '2018-10-10 00:40:52.691631', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 1, 'pitch': -8.24, 'roll': -1.07, 'pres': 171}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.19, 'datetime': '2018-10-10 00:40:52.713513', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -8.05, 'roll': -1.06, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 1.01, 'datetime': '2018-10-10 00:40:52.734334', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 1, 'pitch': -7.92, 'roll': -0.99, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.88, 'datetime': '2018-10-10 00:40:52.743815', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 2, 'pitch': -7.79, 'roll': -0.76, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.72, 'datetime': '2018-10-10 00:40:52.753275', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 2, 'pitch': -7.78, 'roll': -0.29, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.04, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.48, 'datetime': '2018-10-10 00:40:52.762737', 'mgs': 0, 'volt': 0.8398, 'depth': 0.623, 'time': 2, 'pitch': -7.61, 'roll': 0.28, 'pres': 172}
{'lipoC2': 7.53, 'lipoC3S1': 4.03, 'temp': 30.06, 'lipoC3S3': 12.21, 'lipoC3S2': 8.09, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.29, 'datetime': '2018-10-10 00:40:52.858373', 'mgs': 0, 'volt': 0.835, 'depth': 0.546, 'time': 2, 'pitch': -7.15, 'roll': 0.68, 'pres': 171}
